player_id;name_first;name_last;hand;dob;ioc;height;wikidata_id;Name
210446;Pierre;Mouesca;U;20041130.0;FRA;;;Pierre Mouesca
210447;Leo;Raquillet;U;20051004.0;FRA;;;Leo Raquillet
210448;Phoenix;Weir;U;20051029.0;GBR;;;Phoenix Weir
210449;Skander;Mezouar;U;20051212.0;TUN;;;Skander Mezouar
210450;Mhamed;Affes;U;19840101.0;TUN;;;Mhamed Affes
210451;Maceo;Simpson;U;20030208.0;GBR;;;Maceo Simpson
210452;Rayen;Zribi;U;20030112.0;TUN;;;Rayen Zribi
210453;Cedric;Stanke;U;19981002.0;GER;;;Cedric Stanke
210454;Jesse;De Jager;U;20020405.0;NED;;;Jesse De Jager
210455;Noah;Perfetti;U;20010615.0;ITA;;;Noah Perfetti
210456;Karim;Ibrahim;U;20030807.0;EGY;;;Karim Ibrahim
210457;Pranav Suhas;Nemani;U;20031219.0;USA;;;Pranav Suhas Nemani
210458;Bernardo;Munk Mesa ;U;20060213.0;ESP;;;Bernardo Munk Mesa 
210459;Yassine;Bejia;U;19970116.0;TUN;;;Yassine Bejia
210460;Nishesh;Basavareddy;U;20050502.0;USA;;;Nishesh Basavareddy
210461;Sebastian;Sec;U;20031021.0;USA;;;Sebastian Sec
210462;Lucas;Muratori;U;20041104.0;BRA;;;Lucas Muratori
210463;Luis Felipe;Ferraz Sandoval Carvalho;U;20051013.0;BRA;;;Luis Felipe Ferraz Sandoval Carvalho
210464;Darwin;Blanch;U;20070928.0;USA;;;Darwin Blanch
210465;Jordi;Domenech Castillo;U;20050613.0;ESP;;;Jordi Domenech Castillo
210466;Izan;Orgiles Garcia Retamero;U;20040405.0;ESP;;;Izan Orgiles Garcia Retamero
210467;Rafael;Segado Esteve;U;20060303.0;ESP;;;Rafael Segado Esteve
210468;Jeremy;Jin;U;20040627.0;AUS;;;Jeremy Jin
210469;Nicholas;Jovanovski;U;19960825.0;AUS;;;Nicholas Jovanovski
210470;Tai;Sach;U;20020916.0;AUS;;;Tai Sach
210471;Blake;Bayldon;U;19981207.0;AUS;;;Blake Bayldon
210472;Oliver;Tarvet;U;20031029.0;GBR;;;Oliver Tarvet
210473;Fnu;Nidunjianzan;U;20040107.0;CHN;;;Fnu Nidunjianzan
210474;Alexander;Frusina;U;20051217.0;USA;;;Alexander Frusina
210475;Preston;Stearns;U;20040130.0;USA;;;Preston Stearns
210476;Enmanuel;Munoz;U;20050122.0;DOM;;;Enmanuel Munoz
210477;Artur;Kukasian;U;20040321.0;RUS;;;Artur Kukasian
210478;Sebastian;Gorzny;U;20040124.0;USA;;;Sebastian Gorzny
210479;Nicolas;Eli;U;20050303.0;ARG;;;Nicolas Eli
210480;Alberto;Puello ;U;20060818.0;DOM;;;Alberto Puello 
210481;Ping Chen;Lin;U;20021230.0;TPE;;;Ping Chen Lin
210482;Anargha;Ganguly ;U;20040630.0;IND;;;Anargha Ganguly 
210483;Yaojie;Zeng;U;20020130.0;CHN;;;Yaojie Zeng
210484;Lennon Roark;Jones;U;20050115.0;JPN;;;Lennon Roark Jones
210485;Togan;Tokac ;U;20040127.0;TUR;;;Togan Tokac 
210486;Nicholas;Godsick;U;20040915.0;USA;;;Nicholas Godsick
210487;Kenneth;Rabinad Vila;U;20050410.0;ESP;;;Kenneth Rabinad Vila
210488;Roger;Pascual Ferra ;U;20060311.0;ESP;;;Roger Pascual Ferra 
210489;Yevhenii;Bondarenko;U;20030616.0;UKR;;;Yevhenii Bondarenko
210490;Matthias Uwe;Kask;U;20050826.0;CAN;;;Matthias Uwe Kask
210491;Alen;Bill;U;20030503.0;CRO;;;Alen Bill
210492;Marko;Andrejic;U;20030126.0;AUT;;;Marko Andrejic
210493;Jorge Carlos;Camara Allgaier;U;20040309.0;ESP;;;Jorge Carlos Camara Allgaier
210494;Theo;Papamalamis;U;20060109.0;FRA;;;Theo Papamalamis
210495;Rayan;Ghedjemis;U;20000911.0;ALG;;;Rayan Ghedjemis
210496;Sushant;Dabas;U;20030114.0;IND;;;Sushant Dabas
210497;Tathagat;Charantimath;U;19981201.0;IND;;;Tathagat Charantimath
210498;Gerard;Campana Lee;U;20041001.0;KOR;;;Gerard Campana Lee
210499;Janis Raffael;Simmen;U;20060429.0;SUI;;;Janis Raffael Simmen
210500;Skander;Ben Fraj;U;20010905.0;FRA;;;Skander Ben Fraj
210501;Dhananjay;Singh;U;20020629.0;IND;;;Dhananjay Singh
210502;Michael;Rossoni;U;20030526.0;ITA;;;Michael Rossoni
210503;Mateo;Bejenaru;U;20010927.0;ROU;;;Mateo Bejenaru
210504;Billy;Blaydes;U;20031209.0;GBR;;;Billy Blaydes
210505;Marcel;Zielinski;U;20001027.0;GER;;;Marcel Zielinski
210506;Alex;Michelsen;U;20040825.0;USA;;;Alex Michelsen
210507;Nicolas;Villalon;U;20040221.0;CHI;;;Nicolas Villalon
210508;Santiago;Passoni;U;20040615.0;ARG;;;Santiago Passoni
210509;Martin;Buslje;U;20031008.0;ARG;;;Martin Buslje
210510;Lautaro;Midon;U;20040329.0;ARG;;;Lautaro Midon
210511;Luke;Sorensen;U;20011107.0;AUS;;;Luke Sorensen
210512;Shuannon;Tricerri;U;20030201.0;AUS;;;Shuannon Tricerri
210513;Tuncay;Duran;R;20040602.0;TUR;;;Tuncay Duran
210514;Edison;Ambarzumjan;U;19960731.0;GER;;;Edison Ambarzumjan
210515;Tarik;Mustafic;U;20020418.0;MKD;;;Tarik Mustafic
210516;Kiyan Santino;Kasemi;U;20030806.0;GER;;;Kiyan Santino Kasemi
210517;William;Alsterback;U;20031012.0;SWE;;;William Alsterback
210518;Alex;Padro Parra;U;20040331.0;ESP;;;Alex Padro Parra
210519;Inaki;Cabrera Bello;U;20020611.0;ESP;;;Inaki Cabrera Bello
210520;Nil;Regas Luis;U;20000625.0;ESP;;;Nil Regas Luis
210521;Aurel;Ciocanu;U;19980831.0;CAN;;;Aurel Ciocanu
210522;William;Jansen;U;20041206.0;GBR;;;William Jansen
210523;Luca;Pow;U;20050201.0;GBR;;;Luca Pow
210524;Fabio;Nestola;U;20050510.0;GBR;;;Fabio Nestola
210525;Louis;Bowden;U;20041001.0;GBR;;;Louis Bowden
210526;Niccolo;Baroni;U;20031204.0;ITA;;;Niccolo Baroni
210527;Paolo;Rosati;U;20031213.0;ITA;;;Paolo Rosati
210528;Anapat;Timangkul;U;20020618.0;THA;;;Anapat Timangkul
210529;James;Hartson;U;20010611.0;AUS;;;James Hartson
210530;Learner;Tien;U;20051202.0;USA;;;Learner Tien
210531;Paul;Inchauspe;U;20040225.0;FRA;;;Paul Inchauspe
210532;Giacomo;Crisostomo;U;20030729.0;ITA;;;Giacomo Crisostomo
210533;Valerio;Perruzza;U;20000331.0;ITA;;;Valerio Perruzza
210534;Nicola;Porcu;U;20030626.0;ITA;;;Nicola Porcu
210535;Maxim;Shin;U;20030604.0;UZB;;;Maxim Shin
210536;Rei;Sakamoto;U;20060624.0;JPN;;;Rei Sakamoto
210537;Josip;Simundza;U;20041220.0;CRO;;;Josip Simundza
210538;Noa;Vukadin;U;20040415.0;CRO;;;Noa Vukadin
210539;Alessandro;Corcelli Perez;U;20010413.0;FRA;;;Alessandro Corcelli Perez
210540;Felix;Mischker;U;20030627.0;GBR;;;Felix Mischker
210541;Suphawat;Saeoui;U;20050921.0;THA;;;Suphawat Saeoui
210542;Marco;Franzini ;U;20010312.0;ITA;;;Marco Franzini 
210543;Woohyuk;Sim;U;20030204.0;KOR;;;Woohyuk Sim
210544;Andrej;Duric;U;20000610.0;BIH;;;Andrej Duric
210545;Luis Carlos;Alvarez;U;20040903.0;MEX;;;Luis Carlos Alvarez
210546;Jan;Kobierski ;U;20040115.0;AUT;;;Jan Kobierski 
210547;Eric;Padgham;U;20031003.0;AUS;;;Eric Padgham
210548;Tim;Loosen;U;20010630.0;GER;;;Tim Loosen
210549;Max;Stenzer;U;20060130.0;GER;;;Max Stenzer
210550;Benito;Massacri;U;20030627.0;ITA;;;Benito Massacri
210551;Tobias;Smoliner;U;20020612.0;AUT;;;Tobias Smoliner
210552;Alessio;Savoldi;U;20000208.0;ITA;;;Alessio Savoldi
210553;Jacob;Bradshaw;U;20021023.0;AUS;;;Jacob Bradshaw
210554;Marko;Maksimovic;U;20060212.0;SRB;;;Marko Maksimovic
210555;Andrej;Djokic ;U;20031122.0;BIH;;;Andrej Djokic 
210556;Jakub;Nicod;U;20040721.0;CZE;;;Jakub Nicod
210557;Petr;Brunclik;U;20060717.0;CZE;;;Petr Brunclik
210558;Hynek;Barton;U;20040405.0;CZE;;;Hynek Barton
210559;Esteban;Beaumelle Munoz;U;20070424.0;BOL;;;Esteban Beaumelle Munoz
210560;Jean Christian;Morandais;U;20030416.0;GLP;;;Jean Christian Morandais
210561;Yujiro;Onuma;U;20040721.0;GBR;;;Yujiro Onuma
210562;Marco;Dessi;U;20000914.0;ITA;;;Marco Dessi
210563;Eugenio;Gonzalez Fitzmaurice;U;20030406.0;USA;;;Eugenio Gonzalez Fitzmaurice
210564;Jakub;Ostajewski;U;20020118.0;USA;;;Jakub Ostajewski
210565;Elijah;Strode;U;20020207.0;USA;;;Elijah Strode
210566;Marko;Maric;U;20000925.0;FRA;;;Marko Maric
210567;Radomir;Tomic;U;20040330.0;BIH;;;Radomir Tomic
210568;Timothy;Carlsson Seger;U;20031005.0;SWE;;;Timothy Carlsson Seger
210569;Sebastian;Eriksson;U;20050501.0;SWE;;;Sebastian Eriksson
210570;Kevin;Edengren;U;20050701.0;SWE;;;Kevin Edengren
210571;Isac;Stroemberg;U;20030203.0;SWE;;;Isac Stroemberg
210572;Michael;Minasyan;U;20030518.0;SWE;;;Michael Minasyan
210573;Eric;Lindstrom;U;19981022.0;SWE;;;Eric Lindstrom
210574;Jeiden;Saidizand ;U;20040903.0;SWE;;;Jeiden Saidizand 
210575;Jack;Karlsson Wistrand;U;20020606.0;SWE;;;Jack Karlsson Wistrand
210576;Dwaine;Duncan;U;20030225.0;AUS;;;Dwaine Duncan
210577;Alejandro;Turriziani Alvarez;U;20030212.0;ESP;;;Alejandro Turriziani Alvarez
210578;Joseph;White;U;20010129.0;GBR;;;Joseph White
210579;Marco;Berti;U;20050210.0;ITA;;;Marco Berti
210580;Zaharije Zak;Talic;U;19980902.0;AUS;;;Zaharije Zak Talic
210581;Joan;Busoms Puig;U;20011119.0;ESP;;;Joan Busoms Puig
210582;Guilherme;Meale;U;19991211.0;BRA;;;Guilherme Meale
210583;Rodrigo;Mora Clement;U;20010116.0;ESP;;;Rodrigo Mora Clement
210584;Aymen Abderrahmene;Ali Moussa;U;20031111.0;ALG;;;Aymen Abderrahmene Ali Moussa
210585;Ouassim;Ben Guergoura;U;20070110.0;ALG;;;Ouassim Ben Guergoura
210586;Joshua;Schaefer;U;20021028.0;GER;;;Joshua Schaefer
210587;Mohammed Yenni;Kichou;U;19980324.0;ALG;;;Mohammed Yenni Kichou
210588;Frederic;Vogeli;U;20030515.0;SUI;;;Frederic Vogeli
210589;Stepan;Mruzek ;U;20041118.0;CZE;;;Stepan Mruzek 
210590;Henri;Haupt;U;20060526.0;GER;;;Henri Haupt
210591;Patrik;Jurina;U;20050118.0;CRO;;;Patrik Jurina
210592;Igor;Dudun;U;19981217.0;UKR;;;Igor Dudun
210593;Fran;Kuna;U;20050103.0;CRO;;;Fran Kuna
210594;Ivan;Kremenchutskyi ;U;20040423.0;UKR;;;Ivan Kremenchutskyi 
210595;Jiri;Cizek;U;20050821.0;CZE;;;Jiri Cizek
210596;Hussein;El Tawil;U;20031202.0;EGY;;;Hussein El Tawil
210597;Ahmed;Zaki;U;20050211.0;EGY;;;Ahmed Zaki
210598;Nicolas;Hollender;U;20010920.0;ARG;;;Nicolas Hollender
210599;Ryan;Dickerson;U;19970508.0;USA;;;Ryan Dickerson
210600;Gerard;Oltra Guiral;U;20020703.0;ESP;;;Gerard Oltra Guiral
210601;Oskari;Eerola;U;20020402.0;FIN;;;Oskari Eerola
210602;Peetu;Pohjola;U;20010121.0;FIN;;;Peetu Pohjola
210603;Anthony;Turchi ;U;19970319.0;FRA;;;Anthony Turchi 
210604;Loann;Massard ;U;20050727.0;FRA;;;Loann Massard 
210605;Liam;Branger ;U;20010124.0;FRA;;;Liam Branger 
210606;Liam;Oliver;U;20050207.0;USA;;;Liam Oliver
210607;Timothy;Gray;U;19980714.0;AUS;;;Timothy Gray
210608;Eyal;Shyovitz;U;20040713.0;ISR;;;Eyal Shyovitz
210609;Jasin;Jakupi;U;20020509.0;SUI;;;Jasin Jakupi
210610;Mario;Monclus Martin;U;20030609.0;ESP;;;Mario Monclus Martin
210611;Dusan;Rsovac;U;20030201.0;AUS;;;Dusan Rsovac
210612;Rodrigo;Braunstein;U;20030616.0;BRA;;;Rodrigo Braunstein
210613;Derek;Pham;U;20040331.0;AUS;;;Derek Pham
210614;Lucas;Cotler;U;20010716.0;ARG;;;Lucas Cotler
210615;Egor;Khotchenkov ;U;20030625.0;RUS;;;Egor Khotchenkov 
210616;Jean Baptiste;Badon;U;20030113.0;USA;;;Jean Baptiste Badon
210617;Rafik;Benguergoura;U;20021003.0;ALG;;;Rafik Benguergoura
210618;Mohammed Slimane;Kichou;U;20050109.0;ALG;;;Mohammed Slimane Kichou
210619;Aleksa;Vladicic;U;19990605.0;CAN;;;Aleksa Vladicic
210620;Inas;Sarajlic;U;20041024.0;AUT;;;Inas Sarajlic
210621;Aldin;Jasarevic;U;20021225.0;AUT;;;Aldin Jasarevic
